flight_id,departure_city,destination_city,airline,departure_hour,distance_km,booking_days,is_weekend,flight_duration_hours,demand_level,price_usd
1,Los Angeles,Denver,United,19,4509,30,0,5.1,High,311.29
2,New York,Miami,United,8,1285,3,0,2.0,Low,214.26
3,Miami,Houston,Southwest,19,4664,35,0,5.5,Low,203.16
4,Houston,Denver,Southwest,18,4444,71,0,4.7,High,297.55
5,Houston,Boston,United,19,4286,76,1,5.1,Medium,253.25
6,Chicago,Denver,Southwest,7,2948,87,0,3.0,High,217.74
7,Los Angeles,New York,United,19,4846,13,1,5.6,Low,496.55
8,Atlanta,San Francisco,American,7,3781,32,0,4.4,Medium,200.31
9,Los Angeles,Atlanta,Southwest,7,2505,72,0,2.8,Low,150.0
10,Denver,Miami,United,21,1734,84,1,2.2,Medium,162.91
11,Boston,Miami,JetBlue,0,1052,17,0,2.0,Medium,150.0
12,New York,San Francisco,JetBlue,11,3761,39,0,4.1,Medium,190.81
13,New York,Houston,Southwest,2,3013,73,0,3.3,Low,156.54
14,Los Angeles,Boston,JetBlue,22,3752,53,0,4.5,High,251.88
15,Houston,Miami,Delta,15,1430,58,1,2.0,High,177.89
16,Houston,San Francisco,Delta,4,2623,11,1,3.4,Low,334.09
17,Atlanta,Los Angeles,JetBlue,16,2794,82,1,3.7,Low,150.0
18,Denver,New York,United,19,3140,65,0,3.9,Low,162.0
19,New York,Chicago,JetBlue,15,3697,27,0,4.7,Low,225.85
20,Atlanta,San Francisco,JetBlue,22,3771,19,1,4.1,High,446.02
21,Houston,Boston,JetBlue,20,1348,48,1,2.0,Low,150.0
22,Atlanta,San Francisco,United,11,1488,70,1,2.1,High,208.79
23,Boston,San Francisco,United,5,1587,22,0,2.5,Medium,191.45
24,Houston,Miami,Delta,12,2617,32,1,3.3,Medium,184.86
25,San Francisco,Seattle,Southwest,15,2640,69,0,3.2,Low,150.0
26,Denver,Seattle,Delta,15,3846,55,1,4.6,Low,198.29
27,Miami,Chicago,United,4,3418,72,0,4.0,Medium,186.3
28,New York,Seattle,United,5,1416,58,1,2.0,Medium,150.0
29,Chicago,Seattle,United,6,4036,6,1,4.7,Low,452.7
30,Boston,Seattle,United,7,4789,1,1,5.0,Low,500.59
31,Seattle,Boston,United,1,4655,60,1,4.7,High,368.96
32,Miami,Chicago,United,13,1691,80,1,2.3,High,193.78
33,Chicago,Seattle,American,0,1265,38,0,2.1,Low,150.0
34,Houston,Atlanta,American,8,2489,84,1,2.9,Low,150.0
35,Seattle,Atlanta,JetBlue,13,4994,22,0,5.3,Medium,369.25
36,Los Angeles,San Francisco,American,7,1815,1,0,2.5,High,360.5
37,Los Angeles,Seattle,Delta,23,2387,8,0,2.9,Low,269.67
